"plant_code","tech","mw_cap","cap_fac","heat_rate"
56806,"Natural Gas Fired Combined Cycle",535.5,0.266982911886215,5893.7451034749
56823,"Onshore Wind Turbine",165.6,0.316722227736969,9231.99442818121
56864,"Landfill Gas",9.6,0.716752283105023,13756.5200079634
56920,"Onshore Wind Turbine",142.5,0.388623728270448,9232.00286939906
56921,"Onshore Wind Turbine",115.5,0.371296131570104,9231.99882875928
56956,"Onshore Wind Turbine",180,0.217810121765601,9232.00065221885
56959,"Onshore Wind Turbine",58.8,0.264071381977449,9232.00999852963
56961,"Batteries",36,-0.00196283612379503,0
56961,"Onshore Wind Turbine",152.5,0.308734935249644,9231.99794393838
56979,"Onshore Wind Turbine",199.5,0.35304814547785,9231.99901457713
56981,"Onshore Wind Turbine",249,0.354380077387174,9231.99972056487
56983,"Onshore Wind Turbine",180,0.301681253170979,9232.00144631704
56984,"Onshore Wind Turbine",197,0.31243596875507,9232.00173597909
57020,"Landfill Gas",4.8,0.878543569254186,11329.8232316396
57071,"Landfill Gas",1.6,0.897973744292237,9860.79771174321
57095,"Onshore Wind Turbine",201,0.266868284150026,9232.0006129081
57153,"Onshore Wind Turbine",150,0.401667427701674,9231.99902991904
57156,"Onshore Wind Turbine",120,0.263999238964992,9231.99383098632
57165,"Landfill Gas",3.2,0.946703767123288,11141.570578039
57167,"Landfill Gas",3.2,0.860017123287671,11103.4926165588
57197,"Solar Photovoltaic",13.9,0.190384678558523,9232.03347424726
57212,"Onshore Wind Turbine",200.1,0.290532245292879,9232.00207356848
57260,"Onshore Wind Turbine",150,0.370423135464231,9231.99845501463
57263,"Onshore Wind Turbine",10,0.156746575342466,9232.10254169398
57264,"Onshore Wind Turbine",10,0.177659817351598,9232.08892886975
57303,"Onshore Wind Turbine",150,0.32532496194825,9232.00312531434
57322,"Natural Gas Fired Combustion Turbine",15,0.779840182648402,4489.46531213709
57326,"Onshore Wind Turbine",49.5,0.431197822978645,9232.00303782304
57415,"Onshore Wind Turbine",145,0.348474256022674,9232.00310867719
57504,"Natural Gas Fired Combustion Turbine",48,0.13224648021309,5276.61985001888
57520,"Onshore Wind Turbine",225,0.316185185185185,9231.99738126222
57617,"Onshore Wind Turbine",250,0.0270141552511416,9231.99405013438
57699,"Solar Photovoltaic",30,0.16777397260274,9231.99745979905
57741,"Onshore Wind Turbine",4.2,0.453305066318765,9232.10217052404
57751,"Onshore Wind Turbine",200,0.329645547945205,9231.99991688873
57752,"Onshore Wind Turbine",201.6,0.301082209900703,9231.99790865801
57802,"Onshore Wind Turbine",203,0.358992397147806,9231.99961152213
57927,"Onshore Wind Turbine",188,0.323410327406976,9231.99929405315
57974,"Onshore Wind Turbine",150,0.299730593607306,9232.00184843822
57981,"Onshore Wind Turbine",150,0.383889649923897,9232.00001585945
57983,"Onshore Wind Turbine",376,0.41407965364811,9232.00005279061
58000,"Onshore Wind Turbine",99.8,0.387585673630366,9231.99919727546
58001,"Natural Gas Fired Combined Cycle",1606.4,0.30732069868844,6377.87647737937
58005,"Natural Gas Fired Combined Cycle",803.2,0.446276692238335,6390.98072606286
58009,"Solar Photovoltaic",10.6,0.227265874041527,9232.00492820926
58013,"Solar Photovoltaic",1.4,0.162752772341813,9232.46492985972
58021,"Onshore Wind Turbine",92,0.320387879690292,9231.99603418962
58027,"Solar Photovoltaic",10,0.219577625570776,9231.97296594749
58048,"Onshore Wind Turbine",30,0.277686453576865,9231.99408024556
58068,"Solar Photovoltaic",10,0.220810502283105,9231.97022178566
58069,"Petroleum Coke",4.7,0.0146458758379481,8797.67827529022
58080,"Onshore Wind Turbine",112.5,0.379781836631152,9232.00053436644
58151,"Natural Gas Fired Combined Cycle",50.1,0.468605140417654,4884.50748802572
58242,"Onshore Wind Turbine",218,0.430576850571824,9231.99848223928
58321,"Onshore Wind Turbine",150,0.418086757990868,9231.99833990454
58363,"Onshore Wind Turbine",79.6,0.411307393130034,9231.99896793269
58372,"Onshore Wind Turbine",135.4,0.384232748561678,9231.99850792118
58378,"Natural Gas Fired Combustion Turbine",102.7,0.0467147296954823,18744.8544982987
58424,"Onshore Wind Turbine",9,0.201522070015221,9231.99899295065
58471,"Natural Gas Fired Combustion Turbine",358.8,0.0732053954582245,11602.0965617951
58488,"Solar Photovoltaic",10,0.292511415525114,9232.00905401186
58537,"Solar Photovoltaic",40.7,0.209005082292754,9231.9873317498
58596,"Onshore Wind Turbine",211.2,0.5018112416978,9231.99954330375
58681,"Onshore Wind Turbine",150,0.522549467275495,9231.99976697785
58710,"Solar Photovoltaic",30.2,0.230287429314464,9231.96493934967
58716,"Solar Photovoltaic",4.4,0.11148298048983,9231.78962066558
58717,"Solar Photovoltaic",39.6,0.226263779345971,9232.01681742897
58720,"Onshore Wind Turbine",181.7,0.526818630740118,9232.00041024027
58765,"Onshore Wind Turbine",288.6,0.453896863143438,9232.00172895645
58766,"Onshore Wind Turbine",257,0.116234919958069,9231.9991439992
58772,"Onshore Wind Turbine",200,0.436103881278539,9231.99930894937
58773,"Onshore Wind Turbine",200,0.422594748858447,9231.99925444295
58774,"Onshore Wind Turbine",161,0.43386936668652,9232.00067983632
58775,"Onshore Wind Turbine",194,0.479200207127054,9231.99962670622
58823,"All Other",5,0.137260273972603,9231.86959414504
58838,"Onshore Wind Turbine",110,0.442218762972188,9231.99928658929
